Accuracy,F1-Score,MCC,Nota,Tecnica,Modelo,Metodo
89.5421686746988,88.84318766066838,79.09448552186852,86.58075737947603,Random Undersampler,KNN,BoW
89.6867469879518,88.62911795961742,79.70688022491014,86.66296578302419,NearMiss,KNN,BoW
98.85127341874748,59.88023952095808,59.73613403832566,69.58697162474732,OneSidedSelection,KNN,BoW
89.90351863880484,90.3763099876174,80.26522468883223,87.73034082571797,Random Oversampler,KNN,BoW
91.21370067014148,90.6822802036256,82.8918318037954,88.86752322029703,SMOTE,KNN,BoW
90.4578313253012,89.74093264248705,80.98510122726414,87.73119945938485,Random Undersampler,DT,BoW
89.9277108433735,89.12024986985946,79.9567510924247,87.03124041887929,NearMiss,DT,BoW
98.96349636834069,61.31471785922048,62.03052586243268,70.90586448730357,OneSidedSelection,DT,BoW
91.98444257853964,91.63200330783545,84.21197772751148,89.86510673043048,Random Oversampler,DT,BoW
91.9384990732086,91.53940159784516,84.18921569202259,89.80162949023038,SMOTE,DT,BoW
91.27710843373494,90.61689994815968,82.63737618010549,88.78707112753995,Random Undersampler,RF,BoW
90.02409638554218,89.23556942277692,80.14178484764636,87.15925501968559,NearMiss,RF,BoW
98.97596558496213,61.601402688486274,62.40377659845261,71.14563689009682,OneSidedSelection,RF,BoW
92.02088053104356,91.6668734850553,84.28981088310674,89.91110959606522,Random Oversampler,RF,BoW
91.97256063750574,91.57255717255718,84.26192197433515,89.84489923923881,SMOTE,RF,BoW
90.3132530120482,89.39313984168865,80.88059280516238,87.49503137514698,Random Undersampler,RL,BoW
89.6867469879518,88.90041493775934,79.44178531185386,86.7323405438311,NearMiss,RL,BoW
98.57383334891986,32.47232472324724,37.3961810934189,50.22866597220831,OneSidedSelection,RL,BoW
89.39655582135899,88.86541340875061,79.09162545161543,86.55475202261891,Random Oversampler,RL,BoW
90.03659637838437,90.68213470827035,80.95199791228976,88.08821592680371,SMOTE,RL,BoW
89.34939759036145,88.3989501312336,78.87331424732366,86.25515302503808,Random Undersampler,SVC,BoW
89.59036144578313,88.79668049792532,79.24785457923046,86.60789425521607,NearMiss,SVC,BoW
98.56448143645376,25.182778229082047,33.47184538335076,45.60047081949215,OneSidedSelection,SVC,BoW
89.0044517672407,88.44607586086349,78.31274185729549,86.05233633656579,Random Oversampler,SVC,BoW
89.78073858145467,90.46115625485224,80.48527194533833,87.79708075912438,SMOTE,SVC,BoW
88.57831325301206,89.10344827586208,78.49790243731263,86.32077806051221,Random Undersampler,NN,BoW
90.8433734939759,89.96832101372758,81.95814882083982,88.18454108556772,NearMiss,NN,BoW
98.9884348015836,61.16098144823459,62.37874133971151,70.92228475944107,OneSidedSelection,NN,BoW
92.03672311908872,91.67294805635856,84.33752998733718,89.93003730478576,Random Oversampler,NN,BoW
91.887802791464,91.4560790235519,84.1383847969394,89.73458640887681,SMOTE,NN,BoW
91.71084337349396,91.70684667309546,83.70857667353523,89.70827834830503,Random Undersampler,KNN,TFIDF
92.04819277108432,91.58592554818968,84.08956364223661,89.82740187742507,NearMiss,KNN,TFIDF
98.97120945240286,65.51724137931033,65.03803627014175,73.76093212029132,OneSidedSelection,KNN,TFIDF
94.15329288192518,94.10025018584092,88.31074161091769,92.66613371613118,Random Oversampler,KNN,TFIDF
94.05982161245862,93.90111990370616,88.20476374969024,92.51670629239032,SMOTE,KNN,TFIDF
91.7590361445783,91.91489361702128,84.15950164999133,89.93708125715305,Random Undersampler,DT,TFIDF
92.09638554216868,91.60696008188332,84.2010168908956,89.87783064920774,NearMiss,DT,TFIDF
99.03356039468146,69.27651139742319,68.79702944173007,76.59590315781449,OneSidedSelection,DT,TFIDF
94.54935758305476,94.75409586106474,89.43035936237877,93.37197716689076,Random Oversampler,DT,TFIDF
94.8590801793381,95.05388144557745,90.05747815895198,93.75608030736124,SMOTE,DT,TFIDF
93.59036144578312,93.62110311750598,87.55720091714052,92.0974421494839,Random Undersampler,RF,TFIDF
92.53012048192772,92.10392256749871,85.0529369485173,90.4477256413606,NearMiss,RF,TFIDF
99.09591133696009,70.40816326530613,69.95370974037351,77.46648690198646,OneSidedSelection,RF,TFIDF
94.60639090001742,94.80613591462811,89.5360214132116,93.43867103562133,Random Oversampler,RF,TFIDF
94.97473107206793,95.16330700497087,90.28335704767966,93.89617553242232,SMOTE,RF,TFIDF
91.80722891566263,91.5,83.59575909912101,89.60074700369591,Random Undersampler,RL,TFIDF
91.51807228915662,91.02040816326532,83.02766386008513,89.14663811894309,NearMiss,RL,TFIDF
98.68907143859212,51.63887291546866,51.50666361374082,63.36837022081756,OneSidedSelection,RL,TFIDF
90.96814055544114,90.92096252767028,81.93615505754278,88.68655516708111,Random Oversampler,RL,TFIDF
91.07111737773482,91.02290465420025,82.1421768351273,88.81477588031566,SMOTE,RL,TFIDF
91.80722891566263,91.33537206931702,83.60431647400452,89.5205723820753,Random Undersampler,SVC,TFIDF
91.66265060240964,91.2316269640142,83.30035104564857,89.35656389402163,NearMiss,SVC,TFIDF
98.66413106168068,53.80053908355795,53.25466508012291,64.87996857722987,OneSidedSelection,SVC,TFIDF
90.61326658322903,90.35204845958444,81.31123381325772,88.15714932891392,Random Oversampler,SVC,TFIDF
91.12260578888169,91.04135191091711,82.24883924638503,88.86353721427524,SMOTE,SVC,TFIDF
92.86746987951808,92.95908658420552,86.25612642223616,91.26044236754132,Random Undersampler,NN,TFIDF
91.90361445783132,91.46341463414636,83.78876872221468,89.65480311208468,NearMiss,NN,TFIDF
99.06941218649166,71.08958837772397,70.67645444794059,77.98126084747005,OneSidedSelection,NN,TFIDF
